browser,os, os_version, device_mode,utm_campaign,utm_medium,utm_source
Opera,macOS, macOS Big Sur, MacBook Pro (16-inch 2020),NatureNook_MP_broad,paid_retargeting,google_ads_retargeting
Edge,macOS, macOS Catalina, iMac Pro (2019),GourmetGrove_BO_broad,paid_retargeting,meta_ads_retargeting
Firefox,Android, Android 12, Samsung Galaxy Note 21,[''],LuxuryLobby_JM_performance,paid_display,google_ads_display
Edge,Windows, Windows 11, Dell XPS 15,[''],NatureNook_MP_broad,paid_display,meta_ads_display
Samsung Internet,Android, Android 9, Samsung Galaxy S9+,AdventureAtlas_NR_buying,paid_social,x_ads
Safari,macOS, macOS Big Sur, MacBook Air (M1 2020),[''],HolidaySpecials_DE_broad,organic,search
Firefox,macOS, macOS Catalina, iMac (27-inch 2019),CraftCarnival_TV_broad,paid_social,x_ads
Chrome,Android, Android 9, Samsung Galaxy S9+,BookBazaar_SE_broad,paid_search,google_ads_brand
Safari,Windows, Windows 10, Dell XPS 13,MusicMajesty_BB_buying,paid_display,google_ads_display
Firefox,iOS, iOS 14.6, iPad Pro 12.9,WellnessWorld_EC_performance,paid_retargeting,google_ads_retargeting
Chrome,iOS, iOS 14.3, iPhone 12 Pro,AdventureAtlas_JM_performance,paid_social,meta_ads_shopping
Chrome,Android, Android 11, Samsung Galaxy S20,TechTrove_VU_broad,paid_search,google_ads_shopping
Safari,Windows, Windows 11, Asus ZenBook Flip 13,FashionFiesta_FM_broad,paid_social,meta_ads_awareness
Opera,Android, Android 10, Samsung Galaxy Note 10,HealthHaven_SV_broad,paid_social,meta_ads_awareness
Samsung Internet,Android, Android 10, Samsung Galaxy A50,GourmetGrove_SL_broad,paid_social,meta_ads_awareness
Edge,Windows, Windows 10, Dell Vostro 15 7500,TechTrends_PM_buying,paid_social,meta_ads_awareness
Safari (in-app),Windows, Windows 11, Asus ROG Flow X13,HomeDecorSale_CN_buying,organic,search
Edge,Android, Android 8, Samsung Galaxy S8,UrbanUtopia_EG_buying,organic,search
Safari,Android, Android 7, HTC U11,WellnessWave_AW_performance,paid_retargeting,google_ads_retargeting
Firefox,Android, Android 9, Samsung Galaxy Note 9,SportsMania_BR_broad,paid_display,google_ads_display
Firefox,iOS, iOS 14.4, iPhone 12 Mini,JewelryJunction_SH_performance,paid_search,google_ads_shopping
Firefox,macOS, macOS Big Sur, iMac (27-inch 2020),LuxuryLounge_NL_broad,paid_display,meta_ads_display
Samsung Internet,macOS, macOS Monterey, iMac Pro (2021),[''],FashionWeek_IT_performance,paid_social,meta_ads_shopping
Firefox,Windows, Windows 11, Asus VivoBook S15,KidsKingdom_VI_buying,paid_search,google_ads_brand
Safari,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),HomeHarmony_TT_broad,paid_retargeting,google_ads_retargeting
Safari (in-app),macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),UrbanUniverse_NI_broad,paid_social,youtube_ads
Safari,Android, Android 11, Samsung Galaxy S20,CraftCarnival_TV_broad,paid_search,google_ads_shopping
Samsung Internet,Android, Android 11, Samsung Galaxy Note 20,SpringSale_US_broad,paid_search,google_ads_brand
Safari,Android, Android 11, Samsung Galaxy Z Flip,MusicMajesty_HM_performance,paid_social,x_ads
Firefox,macOS, macOS Catalina, MacBook Air (Retina 13-inch Late 2019),FoodFusion_AG_broad,paid_social,linkedin_ads
Samsung Internet,Windows, Windows 10, Dell Inspiron 15 3000,WellnessWave_AW_performance,organic,search
Edge,Android, Android 11, Samsung Galaxy S20,LuxuryLobby_TK_buying,direct,direct
Firefox,Windows, Windows 11, Dell Alienware m15 R4,[''],SummerFest_UK_performance,paid_social,meta_ads_shopping
Opera,macOS, macOS Big Sur, iMac (21.5-inch Late 2020),UrbanUtopia_EA_buying,paid_social,meta_ads_awareness
Firefox,Android, Android 11, Samsung Galaxy A51,PetPalace_PM_buying,paid_social,youtube_ads
Firefox,iOS, iOS 13.6, iPhone 8,BeautyBoulevard_NR_broad,organic,search
Safari,macOS, macOS Catalina, MacBook Pro (15-inch 2019),HomeHarmony_BM_broad,paid_retargeting,google_ads_retargeting
Firefox,Windows, Windows 10, Lenovo ThinkPad L13 Yoga,UrbanUniverse_NI_broad,direct,direct
Firefox,Windows, Windows 11, Asus ZenBook Flip 13,GardenGrove_BS_buying,paid_social,meta_ads_awareness
Safari,Windows, Windows 11, Lenovo ThinkBook 14,FashionFestival_GY_buying,paid_retargeting,meta_ads_retargeting
Edge,Windows, Windows 10, Asus ZenBook Duo,SportsMania_BR_broad,paid_social,linkedin_ads
Samsung Internet,Android, Android 10, Samsung Galaxy S10e,KidsKingdom_AR_broad,paid_display,meta_ads_display
Edge,Android, Android 8, Samsung Galaxy J7,BookBazaar_SE_broad,paid_retargeting,google_ads_retargeting
Samsung Internet,macOS, macOS Catalina, MacBook Pro (13-inch 2019),JewelryJubilee_DK_buying,paid_social,meta_ads_shopping
Opera,Windows, Windows 10, Surface Pro 7,BookBazaar_SE_broad,paid_retargeting,meta_ads_retargeting
Firefox,macOS, macOS Catalina, MacBook Air (Retina 13-inch Late 2019),KidsKingdom_VI_buying,paid_social,meta_ads_shopping
Chrome,Android, Android 8, Samsung Galaxy S8+,NewYearBlast_ES_performance,paid_display,google_ads_display
Samsung Internet,Android, Android 9, Samsung Galaxy A30,AdventureAtlas_JM_performance,paid_social,meta_ads_awareness
Safari,iOS, iOS 14.1, iPhone 11,JewelryJunction_AQ_buying,paid_search,google_ads_brand
Samsung Internet,Android, Android 10, OnePlus 8,FoodFiesta_MX_buying,organic,search
Safari,Android, Android 8, Samsung Galaxy S8,FashionFestival_GY_buying,paid_retargeting,meta_ads_retargeting
Safari (in-app),Windows, Windows 11, Lenovo IdeaPad Flex 5,KidsKingdom_NC_performance,paid_social,linkedin_ads
Safari (in-app),macOS, macOS Monterey, iMac Pro (2021),[''],ArtAuction_BE_broad,direct,direct
Firefox,Android, Android 12, Samsung Galaxy A52,BeautyBoulevard_PG_buying,paid_social,linkedin_ads
Firefox,Windows, Windows 11, Lenovo IdeaPad Flex 5,HealthHaven_GD_broad,paid_display,meta_ads_display
Safari,macOS, macOS Big Sur, MacBook Air,GourmetGrove_SL_broad,paid_social,linkedin_ads
Samsung Internet,Android, Android 10, Samsung Galaxy S10,FoodFusion_AG_broad,paid_social,meta_ads_shopping
Safari (in-app),iOS, iOS 13.6, iPhone 8,GadgetGrove_CR_buying,paid_display,meta_ads_display
Samsung Internet,macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),HealthHub_HU_buying,paid_display,meta_ads_display
Opera,Android, Android 12, Google Pixel 4,VintageVault_TF_buying,paid_social,meta_ads_shopping
Firefox,Windows, Windows 11, Surface Laptop 4,GadgetGalore_RU_broad,paid_display,meta_ads_display
Firefox,Windows, Windows 11, Dell XPS 15,[''],AutumnDeals_JP_buying,paid_search,google_ads_brand
Firefox,macOS, macOS Big Sur, MacBook Air,VintageVista_NU_performance,direct,direct
Safari,Windows, Windows 10, Asus ROG Strix Scar 15,TravelTreasures_CL_performance,paid_social,linkedin_ads
Safari,Windows, Windows 11, Dell XPS 15,[''],TravelTreasures_SB_buying,paid_search,google_ads_shopping
Edge,Android, Android 6, Moto G4,LuxuryLounge_YT_broad,direct,direct
Firefox,macOS, macOS Big Sur, MacBook Air,VintageVoyage_BB_broad,paid_search,google_ads_shopping
Firefox,Windows, Windows 11, Dell Inspiron 14 5000,VintageVista_NU_performance,paid_search,google_ads_brand
Firefox,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],PetPalace_PM_buying,paid_display,google_ads_display
Safari,Android, Android 9, Samsung Galaxy A30,CraftCarnival_TT_buying,paid_search,google_ads_shopping
Samsung Internet,macOS, macOS Catalina, MacBook Pro (13-inch 2019),UrbanUniverse_NI_broad,organic,search
Chrome,Android, Android 11, Samsung Galaxy Tab S7,PetParade_FI_broad,paid_display,google_ads_display
Edge,macOS, macOS Catalina, MacBook Pro (13-inch 2019),MusicMystique_KN_buying,paid_social,linkedin_ads
Chrome,Android, Android 8, Samsung Galaxy J7,MusicMela_NZ_performance,paid_retargeting,meta_ads_retargeting
Chrome,Android, Android 12, Samsung Galaxy S21,[''],FashionFestival_GY_buying,paid_social,x_ads
Samsung Internet,Windows, Windows 10, Lenovo ThinkPad X1 Carbon,VintageVault_TF_buying,direct,direct
Chrome,Android, Android 11, Samsung Galaxy S20 Ultra,GadgetGrove_WS_broad,paid_retargeting,google_ads_retargeting
Safari (in-app),iOS, iOS 14.4, iPhone 12 Mini,NatureNest_IC_performance,paid_search,google_ads_brand
Safari,Android, Android 9, Samsung Galaxy S9,LuxuryLobby_JM_performance,paid_social,meta_ads_shopping
Safari,Android, Android 11, Google Pixel 5,ArtAtrium_BM_buying,paid_social,youtube_ads
Samsung Internet,Windows, Windows 10, Dell XPS 13,TravelTreasures_CL_performance,paid_search,google_ads_brand
Safari (in-app),Android, Android 9, Samsung Galaxy S9,NatureNiche_KY_buying,direct,direct
Firefox,Windows, Windows 11, Dell Inspiron 13 7000,HealthHaven_SV_broad,paid_social,youtube_ads
Firefox,Windows, Windows 10, Asus ROG Strix Scar 15,SportsSensation_GF_performance,direct,direct
Safari,Windows, Windows 11, Dell Inspiron 13 7000,SportsSpectacle_IO_buying,paid_retargeting,google_ads_retargeting
Safari (in-app),iOS, iOS 13.7, iPhone X,SummerFest_UK_performance,paid_search,google_ads_brand
Samsung Internet,Android, Android 10, Samsung Galaxy A50,AdventureAtlas_JM_performance,paid_retargeting,meta_ads_retargeting
Edge,Android, Android 9, Samsung Galaxy S9+,KidsKarnival_GF_broad,paid_social,youtube_ads
Firefox,Windows, Windows 10, Lenovo Legion Y540,KidsKingdom_VI_buying,organic,search
Chrome,Windows, Windows 10, Asus ZenBook Duo,BeautyBlast_MF_performance,paid_social,x_ads
Safari,Windows, Windows 10, Dell Vostro 15 7500,KidsKarnival_PA_performance,direct,direct
Firefox,iOS, iOS 14.1, iPhone 11,ToyTreasure_CP_performance,paid_display,google_ads_display
Opera,Android, Android 6, Moto G4,GardenGala_EH_performance,paid_retargeting,meta_ads_retargeting
Safari (in-app),Windows, Windows 10, Lenovo ThinkPad P1,HomeHaven_GP_performance,paid_social,pinterest_ads
Safari (in-app),Android, Android 6, Moto G4,ArtAlchemy_VC_performance,paid_search,google_ads_shopping
Firefox,macOS, macOS Catalina, MacBook Pro (15-inch 2019),FoodFusion_AG_broad,paid_display,meta_ads_display
Samsung Internet,Android, Android 9, Samsung Galaxy S9,GourmetGrove_BO_broad,paid_search,google_ads_shopping
Firefox,Windows, Windows 10, Dell Latitude 7410,HomeHarmony_BM_broad,paid_social,youtube_ads
Firefox,macOS, macOS Monterey, iMac (24-inch M1 2021),BeautyBoulevard_PG_buying,paid_search,google_ads_shopping
Samsung Internet,Android, Android 11, Google Pixel 5,GadgetGrove_WS_broad,paid_search,google_ads_brand
Firefox,Android, Android 9, Samsung Galaxy S9,GourmetGala_MH_performance,paid_retargeting,google_ads_retargeting
Safari (in-app),macOS, macOS Big Sur, MacBook Pro (16-inch 2020),GadgetGrove_NF_performance,paid_retargeting,google_ads_retargeting
Safari,iOS, iOS 14.6, iPad Pro 12.9,ToyTemple_DM_buying,paid_display,google_ads_display
Firefox,Android, Android 6, Moto G4,HealthHaven_SV_broad,paid_social,youtube_ads
Safari (in-app),macOS, macOS Catalina, iMac (27-inch 2019),MovieMania_AT_broad,paid_social,meta_ads_awareness
Firefox,Windows, Windows 11, Asus VivoBook S15,VintageVoyage_BB_broad,paid_social,linkedin_ads
Firefox,Windows, Windows 11, Dell Alienware m15 R4,[''],ToyTreasure_GD_buying,paid_social,pinterest_ads
Samsung Internet,Android, Android 10, Samsung Galaxy S10,KidsKarnival_PA_performance,paid_search,google_ads_brand
Opera,macOS, macOS Big Sur, iMac (27-inch 2020),HealthHaven_GD_broad,paid_search,google_ads_shopping
Firefox,macOS, macOS Monterey, iMac (24-inch M1 2021),LuxuryLobby_HT_performance,direct,direct
Firefox,iOS, iOS 14.3, iPhone 12 Pro,SportsMania_BR_broad,paid_social,meta_ads_awareness
Safari,Android, Android 10, Samsung Galaxy S10,AutumnDeals_JP_buying,organic,search
Safari (in-app),Android, Android 9, Samsung Galaxy A30,GadgetGalore_RU_broad,paid_social,meta_ads_awareness
Opera,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),HomeHaven_TO_performance,paid_retargeting,google_ads_retargeting
Edge,Android, Android 10, OnePlus 8,HomeHarmony_TT_broad,paid_social,meta_ads_shopping
Opera,Android, Android 8, Samsung Galaxy Note 8,FoodFiesta_MX_buying,paid_social,meta_ads_shopping
Opera,Android, Android 12, Samsung Galaxy S21,[''],NewYearBlast_ES_performance,paid_retargeting,meta_ads_retargeting
Opera,Windows, Windows 10, Asus ZenBook 13,KidsKingdom_VI_buying,paid_social,youtube_ads
Chrome,Android, Android 10, Samsung Galaxy S10,SportsSpectacle_PA_broad,paid_retargeting,google_ads_retargeting
Edge,macOS, macOS Catalina, MacBook Air (Retina 13-inch Late 2019),BookBazaar_SE_broad,paid_social,meta_ads_shopping
Safari,Android, Android 6, Moto G4,TechTrove_VU_broad,paid_search,google_ads_shopping
Firefox,Windows, Windows 11, Dell Inspiron 13 7000,BeautyBlast_MF_performance,paid_social,meta_ads_shopping
Chrome,iOS, iOS 14.3, iPhone 12 Pro,ToyTemple_FK_broad,paid_retargeting,google_ads_retargeting
Safari (in-app),Android, Android 7, Samsung Galaxy S7 Edge,FoodFusion_AI_performance,paid_social,x_ads
Firefox,Android, Android 10, OnePlus 8,VintageVoyage_DM_broad,paid_retargeting,google_ads_retargeting
Edge,Windows, Windows 11, Dell Inspiron 14 5000,MusicMajesty_BB_buying,direct,direct
Firefox,Windows, Windows 11, Surface Laptop 4,LuxuryLounge_NL_broad,paid_retargeting,meta_ads_retargeting
