browser,os, os_version, device_mode,utm_campaign,utm_medium,utm_source
Samsung Internet,macOS, macOS Big Sur, iMac (2020),AdventureArena_CH_buying,paid_display,meta_ads_display
Opera,Android, Android 11, Samsung Galaxy Z Flip,MusicMela_NZ_performance,paid_social,x_ads
Opera,Windows, Windows 10, Dell Latitude 7410,PetParty_VC_performance,paid_social,meta_ads_awareness
Samsung Internet,macOS, macOS Big Sur, iMac (27-inch 2020),SpringSale_US_broad,paid_social,linkedin_ads
Firefox,macOS, macOS Catalina, MacBook Pro (13-inch 2019),TravelTreasures_PR_broad,paid_search,google_ads_shopping
Safari,Android, Android 9, Samsung Galaxy S9,MusicMajesty_HM_performance,paid_social,pinterest_ads
Safari (in-app),macOS, macOS Monterey, iMac (Retina 4.5K 24-inch 2021),WellnessWave_CO_broad,paid_search,google_ads_shopping
Edge,Windows, Windows 10, Dell XPS 13,TravelTreasures_SB_buying,paid_social,x_ads
Safari,Windows, Windows 10, Dell XPS 13,JewelryJunction_KN_broad,paid_social,linkedin_ads
Firefox,macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],UrbanUniverse_MS_broad,paid_display,google_ads_display
Firefox,Android, Android 8, LG G7 ThinQ,ToyTreasure_CK_broad,direct,direct
Safari (in-app),macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),UrbanUtopia_EG_buying,paid_social,linkedin_ads
Samsung Internet,macOS, macOS Big Sur, iMac (2020),HealthHub_HU_buying,paid_search,google_ads_brand
Firefox,Android, Android 12, Samsung Galaxy Z Fold 3,[''],BeautyBoulevard_PG_buying,direct,direct
Firefox,Windows, Windows 10, Asus ROG Strix Scar 15,ArtAuction_BE_broad,paid_social,x_ads
Firefox,Windows, Windows 10, Dell Inspiron 15 3000,SummerFest_UK_performance,paid_display,google_ads_display
Samsung Internet,Windows, Windows 10, Surface Pro 7,FoodFusion_AI_performance,organic,search
Opera,Windows, Windows 11, Lenovo Legion 5 Pro,[''],HealthHub_PN_buying,paid_retargeting,google_ads_retargeting
Safari,Windows, Windows 10, Lenovo Legion Y540,FashionWeek_IT_performance,paid_social,youtube_ads
Edge,Windows, Windows 10, Asus ZenBook Duo,BeautyBoulevard_MQ_buying,paid_search,google_ads_shopping
Chrome,Windows, Windows 10, Dell Inspiron 15 3000,ArtAtrium_NU_buying,paid_display,google_ads_display
Safari (in-app),Android, Android 12, OnePlus 9 Pro,ArtAlchemy_VC_performance,paid_social,linkedin_ads
Firefox,Android, Android 12, Samsung Galaxy Note 21,[''],PetParty_AG_performance,paid_social,pinterest_ads
Safari (in-app),Windows, Windows 11, Asus VivoBook 14,FoodFusion_AG_broad,paid_social,meta_ads_shopping
Firefox,Windows, Windows 10, Dell Vostro 15 7500,ArtAtrium_BM_buying,paid_social,meta_ads_awareness
Chrome,Windows, Windows 11, Dell Precision 7550,TechTrove_SR_broad,organic,search
Firefox,Android, Android 12, Samsung Galaxy Z Fold 3,[''],BeautyBoulevard_PG_buying,paid_display,meta_ads_display
Firefox,Windows, Windows 10, Asus VivoBook Flip 14,ArtAuction_BE_broad,paid_social,meta_ads_shopping
Safari (in-app),Windows, Windows 10, Asus ROG Strix Scar 15,GadgetGrove_NF_performance,paid_search,google_ads_shopping
Chrome,Android, Android 11, Samsung Galaxy A71,BeautyBlitz_SA_performance,paid_retargeting,meta_ads_retargeting
Firefox,macOS, macOS Catalina, MacBook Pro (13-inch Early 2019),TravelTreasures_CL_performance,paid_social,linkedin_ads
Firefox,Windows, Windows 10, Lenovo ThinkPad P1,PetParty_AG_performance,paid_social,meta_ads_awareness
Firefox,Windows, Windows 10, Asus ROG Strix Scar 15,BeautyBlitz_SA_performance,paid_retargeting,meta_ads_retargeting
Safari (in-app),Android, Android 9, Samsung Galaxy Note 9,JewelryJunction_TK_performance,paid_display,meta_ads_display
Chrome,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),JewelryJunction_SH_performance,paid_retargeting,google_ads_retargeting
Firefox,iOS, iOS 14.4, iPhone 12 Mini,TechTrends_PM_buying,paid_retargeting,meta_ads_retargeting
Edge,Android, Android 9, Samsung Galaxy S9,JewelryJunction_AQ_buying,paid_social,youtube_ads
Safari,Android, Android 7, Samsung Galaxy S7 Edge,TravelTreasures_PR_broad,paid_social,meta_ads_awareness
Firefox,Android, Android 9, Samsung Galaxy S9,SummerFest_UK_performance,paid_social,youtube_ads
Firefox,Android, Android 10, Samsung Galaxy Note 10+,AdventureAtlas_JM_performance,paid_social,youtube_ads
Firefox,Android, Android 6, Moto G4,HomeDecorSale_CN_buying,paid_retargeting,meta_ads_retargeting
Chrome,Android, Android 7, Samsung Galaxy S7,HomeHarbor_CC_buying,paid_social,meta_ads_awareness
Chrome,iOS, iOS 14.1, iPhone 11,HomeHaven_GP_performance,paid_social,meta_ads_shopping
Safari (in-app),macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],NatureNook_MP_broad,paid_social,meta_ads_awareness
Firefox,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),FoodFestival_TV_performance,paid_display,google_ads_display
Firefox,iOS, iOS 14.1, iPhone 11,ToyTreasure_NO_performance,paid_search,google_ads_shopping
Safari,Android, Android 9, Samsung Galaxy S9+,JewelryJunction_SH_performance,paid_social,meta_ads_awareness
Safari (in-app),Android, Android 11, Samsung Galaxy Note 20 Ultra,GadgetGrove_AI_buying,paid_retargeting,meta_ads_retargeting
Firefox,macOS, macOS High Sierra," MacBook Pro 15""",ToyTemple_DM_buying,paid_retargeting,google_ads_retargeting
Edge,macOS, macOS Monterey, MacBook Pro (14-inch 2021),LuxuryLobby_HT_performance,paid_display,meta_ads_display
Firefox,macOS, macOS Catalina, MacBook Air (Retina 13-inch Late 2019),FashionFiesta_VE_performance,paid_search,google_ads_brand
Safari (in-app),Windows, Windows 10, Dell XPS 13,PetParty_VC_performance,paid_social,meta_ads_shopping
Samsung Internet,Windows, Windows 11, Asus VivoBook 14,ToyTemple_DM_buying,paid_retargeting,google_ads_retargeting
Safari (in-app),Android, Android 8, LG G7 ThinQ,TechTrends_UY_buying,paid_search,google_ads_brand
Firefox,macOS, macOS Catalina, iMac (21.5-inch 2019),MusicMajesty_BB_buying,paid_search,google_ads_shopping
Safari (in-app),Windows, Windows 10, Asus VivoBook Flip 14,ArtAtrium_NU_buying,paid_social,x_ads
Firefox,macOS, macOS Monterey, iMac (Retina 4.5K 24-inch 2021),GadgetGrove_CR_buying,paid_social,meta_ads_shopping
Safari,Windows, Windows 10, Dell XPS 13,FashionWeek_IT_performance,paid_social,meta_ads_awareness
Edge,macOS, macOS Catalina, MacBook Pro (13-inch 2019),FitnessFrenzy_ZA_buying,direct,direct
Chrome,Windows, Windows 11, Lenovo Legion 5 Pro,[''],LuxuryLobby_TK_buying,paid_social,meta_ads_shopping
Opera,Android, Android 7, Samsung Galaxy S7,PetParty_VC_performance,paid_display,meta_ads_display
Firefox,Android, Android 11, Samsung Galaxy S20,WellnessWave_RE_broad,paid_search,google_ads_brand
Firefox,Android, Android 11, OnePlus 9,FoodFestival_TV_performance,paid_retargeting,google_ads_retargeting
Safari,macOS, macOS Catalina, iMac (21.5-inch 2019),HomeDecorSale_CN_buying,paid_display,meta_ads_display
Firefox,Windows, Windows 10, Dell Latitude 7410,FoodFusion_AI_performance,paid_search,google_ads_shopping
Safari,macOS, macOS Catalina, iMac (27-inch 2019),GadgetGrove_NF_performance,paid_search,google_ads_brand
Samsung Internet,iOS, iOS 14.7, iPad Air 4th Gen,HealthHub_PN_buying,paid_social,meta_ads_shopping
Edge,Android, Android 9, Samsung Galaxy S9,FoodFiesta_GG_buying,paid_search,google_ads_brand
Samsung Internet,Android, Android 11, Samsung Galaxy S20,ArtAuction_BV_broad,paid_retargeting,meta_ads_retargeting
Firefox,macOS, macOS Big Sur, MacBook Pro (16-inch 2020),GardenGala_EH_performance,paid_social,linkedin_ads
Samsung Internet,Windows, Windows 10, Dell XPS 13,BookBazaar_SE_broad,paid_search,google_ads_shopping
Samsung Internet,Windows, Windows 11, Lenovo ThinkBook 14,FashionFestival_BW_buying,paid_search,google_ads_shopping
Edge,Android, Android 8, Samsung Galaxy S8+,NatureNest_IL_performance,paid_search,google_ads_shopping
Chrome,macOS, macOS Big Sur, MacBook Air,SportsSensation_BL_broad,paid_retargeting,meta_ads_retargeting
Chrome,iOS, iOS 14.1, iPhone 11,TravelTrove_DG_performance,paid_display,google_ads_display
Safari,Windows, Windows 11, Dell Inspiron 14 5000,LuxuryLobby_TK_buying,paid_retargeting,meta_ads_retargeting
Samsung Internet,macOS, macOS Catalina, iMac Pro (2019),VintageVault_TF_buying,paid_social,meta_ads_shopping
Firefox,Windows, Windows 11, Asus TUF Gaming A15,[''],HomeHarbor_CC_buying,paid_social,youtube_ads
Safari (in-app),Windows, Windows 11, Dell Inspiron 13 7000,HomeHaven_GP_performance,paid_display,meta_ads_display
Firefox,Windows, Windows 10, Lenovo ThinkPad L13 Yoga,HealthHaven_GD_broad,paid_social,meta_ads_shopping
Samsung Internet,Android, Android 11, Samsung Galaxy S20,HealthHub_HU_buying,paid_retargeting,meta_ads_retargeting
Chrome,macOS, macOS Catalina, MacBook Pro (15-inch 2019),PetParade_FI_broad,paid_retargeting,meta_ads_retargeting
Samsung Internet,Android, Android 8, Samsung Galaxy S8,MusicMela_NZ_performance,paid_social,meta_ads_awareness
Chrome,Android, Android 10, Samsung Galaxy A50,ArtAuction_BE_broad,paid_retargeting,meta_ads_retargeting
Chrome,Android, Android 7, Samsung Galaxy S7 Edge,FoodFusion_AG_broad,paid_retargeting,google_ads_retargeting
Firefox,Android, Android 7, Samsung Galaxy J5,JewelryJunction_AQ_buying,paid_social,linkedin_ads
Safari,Windows, Windows 10, Dell Vostro 15 7500,SportsSensation_FJ_performance,organic,search
Opera,Android, Android 8, LG G7 ThinQ,GadgetGalore_RU_broad,direct,direct
Samsung Internet,Android, Android 8, Samsung Galaxy Note 8,FoodFestival_LC_broad,paid_display,meta_ads_display
Opera,Android, Android 12, OnePlus 9 Pro,SportsSensation_FJ_performance,paid_display,meta_ads_display
Chrome,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],FashionFestival_GP_performance,paid_search,google_ads_shopping
Samsung Internet,Windows, Windows 10, Dell XPS 13,FoodFusion_AI_performance,direct,direct
Firefox,Android, Android 11, Samsung Galaxy A71,ArtAtrium_BM_buying,organic,search
Safari,macOS, macOS Catalina, MacBook Pro (13-inch 2019),HolidaySpecials_DE_broad,paid_display,google_ads_display
Samsung Internet,macOS, macOS Big Sur, MacBook Air,KidsKarnival_PA_performance,paid_search,google_ads_brand
Safari (in-app),Windows, Windows 10, Dell XPS 13,PetPalace_PM_buying,paid_retargeting,google_ads_retargeting
Firefox,Windows, Windows 11, Dell Precision 7550,AutoAlcove_AS_buying,paid_display,meta_ads_display
Safari,iOS, iOS 14.4, iPhone 12 Mini,HealthHub_PN_buying,organic,search
Chrome,Android, Android 9, Samsung Galaxy S9,UrbanUniverse_MS_broad,paid_social,meta_ads_shopping
Firefox,macOS, macOS Monterey, MacBook Pro (14-inch 2021),PetPalace_PM_buying,paid_social,meta_ads_awareness
Opera,macOS, macOS Catalina, MacBook Pro (15-inch 2019),GourmetGrove_BO_broad,paid_search,google_ads_brand
Firefox,Android, Android 8, Samsung Galaxy S8+,TechTrends_UY_buying,paid_retargeting,meta_ads_retargeting
Safari (in-app),macOS, macOS Big Sur, MacBook Air,CraftCraze_BZ_buying,paid_social,meta_ads_awareness
Safari,Windows, Windows 10, Asus ROG Zephyrus G14,SportsSensation_GF_performance,paid_social,meta_ads_shopping
Safari,Android, Android 11, Samsung Galaxy Note 20,GourmetGala_MH_performance,paid_search,google_ads_brand
Safari,Windows, Windows 10, Dell XPS 13,GourmetGala_PE_buying,paid_social,pinterest_ads
Firefox,Windows, Windows 10, Dell Latitude 7410,GourmetGala_PE_buying,paid_display,google_ads_display
Safari (in-app),Android, Android 11, Samsung Galaxy Z Flip,AdventureAtlas_JM_performance,paid_search,google_ads_brand
Firefox,Windows, Windows 10, Lenovo Legion Y540,NatureNest_IC_performance,organic,search
Firefox,Windows, Windows 11, Dell Alienware m15 R4,[''],AdventureArena_CH_buying,paid_display,google_ads_display
Firefox,Android, Android 9, Samsung Galaxy S9,TravelTreasures_SB_buying,organic,search
Edge,macOS, macOS Monterey," MacBook Pro 16""",ArtAlchemy_VC_performance,paid_search,google_ads_shopping
Firefox,macOS, macOS Big Sur, iMac (21.5-inch Late 2020),FoodFusion_AG_broad,paid_social,youtube_ads
Safari (in-app),macOS, macOS Catalina, iMac (21.5-inch 2019),NatureNiche_HN_buying,paid_social,linkedin_ads
Safari (in-app),Windows, Windows 10, Asus ZenBook Duo,WellnessWorld_EC_performance,paid_social,pinterest_ads
Firefox,macOS, macOS Big Sur, MacBook Air,KidsKingdom_VI_buying,organic,search
Firefox,macOS, macOS Big Sur, iMac (2020),AdventureAtlas_NR_buying,paid_search,google_ads_shopping
Chrome,macOS, macOS Catalina, MacBook Pro (13-inch 2019),GadgetGrove_RE_broad,paid_social,pinterest_ads
Safari,macOS, macOS Monterey, MacBook Pro (14-inch 2021),PetParade_FI_broad,paid_social,linkedin_ads
Firefox,Android, Android 7, Samsung Galaxy S7 Edge,EcoExhibit_GR_performance,paid_retargeting,meta_ads_retargeting
Opera,Windows, Windows 11, Lenovo ThinkBook 14,WinterClearance_CA_buying,paid_social,pinterest_ads
Samsung Internet,Android, Android 11, Samsung Galaxy A51,PetParade_AX_broad,paid_retargeting,google_ads_retargeting
Opera,Android, Android 11, Samsung Galaxy Note 20 Ultra,GardenGrove_BS_buying,paid_retargeting,google_ads_retargeting
Opera,macOS, macOS Big Sur, iMac (27-inch 2020),FashionFiesta_VE_performance,paid_search,google_ads_brand
Chrome,Windows, Windows 10, Dell G5 15,LuxuryLounge_YT_broad,paid_search,google_ads_shopping
Chrome,Android, Android 11, Samsung Galaxy Tab S7,SportsSensation_BL_broad,paid_retargeting,meta_ads_retargeting
Edge,Android, Android 9, Samsung Galaxy A30,MusicMajesty_KI_broad,paid_social,pinterest_ads
Opera,Android, Android 8, LG G7 ThinQ,NatureNiche_KY_buying,paid_retargeting,google_ads_retargeting
Opera,macOS, macOS Big Sur, iMac (27-inch 2020),KidsKingdom_NC_performance,paid_social,youtube_ads
Safari,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],VintageVoyage_DM_broad,direct,direct
Edge,Windows, Windows 11, Dell Inspiron 14 5000,WellnessWave_PW_buying,organic,search
Opera,macOS, macOS Catalina, MacBook Pro (16-inch 2019),GourmetGrove_BO_broad,paid_display,meta_ads_display
Firefox,iOS, iOS 13.7, iPhone X,CraftCarnival_PL_performance,direct,direct
Chrome,macOS, macOS Catalina, iMac (21.5-inch 2019),ArtAuction_BV_broad,paid_display,meta_ads_display
Firefox,Android, Android 10, Samsung Galaxy Z Fold 2,VintageVoyage_DM_broad,paid_retargeting,google_ads_retargeting
Samsung Internet,macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],GourmetGrove_BO_broad,paid_retargeting,google_ads_retargeting
Edge,macOS, macOS Monterey, iMac Pro (2021),[''],NatureNest_IL_performance,paid_social,linkedin_ads
Safari (in-app),Android, Android 11, OnePlus 9,LuxuryLobby_JM_performance,organic,search
Edge,Android, Android 12, OnePlus 9 Pro,GadgetGrove_WS_broad,paid_display,meta_ads_display
Samsung Internet,iOS, iOS 14.1, iPhone 11,WinterClearance_CA_buying,direct,direct
Chrome,Windows, Windows 11, Dell Alienware m15 R4,[''],TravelTreasures_CL_performance,paid_social,pinterest_ads
Chrome,Windows, Windows 11, Lenovo IdeaPad 3,HealthHaven_SV_broad,paid_search,google_ads_shopping
Opera,Windows, Windows 10, Dell G5 15,FashionFestival_GP_performance,paid_retargeting,google_ads_retargeting
Firefox,Windows, Windows 10, Dell G5 15,GourmetGala_PE_buying,paid_social,meta_ads_shopping
Firefox,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),ArtAtrium_NU_buying,paid_social,x_ads
Edge,Android, Android 12, Samsung Galaxy Z Fold 3,[''],FoodFiesta_MX_buying,paid_retargeting,google_ads_retargeting
Edge,macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],ToyTemple_FK_broad,paid_display,meta_ads_display
Samsung Internet,macOS, macOS Catalina, MacBook Pro (13-inch 2019),TechTrove_SR_broad,paid_display,google_ads_display
Safari,macOS, macOS Catalina, iMac Pro (2019),ToyTemple_FK_broad,direct,direct
Samsung Internet,Android, Android 8, Samsung Galaxy J7,LuxuryLounge_NL_broad,paid_display,meta_ads_display
Samsung Internet,Android, Android 7, HTC U11,ArtAuction_BE_broad,paid_display,google_ads_display
Safari (in-app),macOS, macOS Monterey, MacBook Pro (14-inch 2021),MovieMania_AT_broad,paid_social,meta_ads_awareness
Safari,Windows, Windows 11, Dell XPS 15,[''],PetParade_AX_broad,direct,direct
Firefox,Windows, Windows 10, Lenovo Yoga C940,WinterClearance_CA_buying,paid_social,youtube_ads
Chrome,Windows, Windows 11, Asus ZenBook Flip 13,AdventureArena_CH_buying,paid_social,linkedin_ads
Safari (in-app),Windows, Windows 10, Dell Latitude 7410,FoodFestival_TV_performance,paid_social,linkedin_ads
Firefox,iOS, iOS 14.1, iPhone 11,AutoAlcove_AS_buying,paid_retargeting,meta_ads_retargeting
Firefox,macOS, macOS Big Sur, MacBook Pro (M1 13-inch 2020),[''],GardenGala_IE_performance,paid_display,meta_ads_display
Safari (in-app),macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),TravelTreasures_SB_buying,paid_social,pinterest_ads
Chrome,Android, Android 10, Samsung Galaxy A70,MusicMajesty_KI_broad,paid_display,google_ads_display
Firefox,Windows, Windows 10, Asus ZenBook 13,GardenGrove_BS_buying,paid_search,google_ads_shopping
Edge,iOS, iOS 14.2, iPhone 12,SportsSpectacle_IO_buying,paid_retargeting,google_ads_retargeting
Edge,Android, Android 7, Samsung Galaxy S7,AdventureArena_CH_buying,direct,direct
Firefox,Android, Android 6, Moto G4,WellnessWave_PW_buying,paid_social,youtube_ads
Safari,macOS, macOS Monterey, iMac (Retina 5K 27-inch Early 2021),FoodFiesta_MX_buying,paid_social,x_ads
Firefox,macOS, macOS Big Sur, MacBook Pro (16-inch 2020),FoodFestival_TV_performance,paid_search,google_ads_brand
Safari,Windows, Windows 11, Asus VivoBook S15,FashionFestival_GP_performance,paid_social,pinterest_ads
Safari (in-app),Android, Android 8, Samsung Galaxy S8+,VintageVault_TF_buying,paid_display,google_ads_display
Samsung Internet,Android, Android 7, HTC U11,MusicMajesty_BB_buying,paid_search,google_ads_brand
Chrome,Android, Android 12, Google Pixel 4,AdventureAtlas_JM_performance,paid_social,linkedin_ads
Firefox,Android, Android 10, Samsung Galaxy S10,BeautyBlast_MF_performance,paid_retargeting,meta_ads_retargeting
Samsung Internet,iOS, iOS 14.7, iPad Air 4th Gen,FitnessFrenzy_ZA_buying,paid_search,google_ads_brand
Samsung Internet,Android, Android 9, Samsung Galaxy S9,GadgetGrove_RE_broad,paid_social,x_ads
Safari (in-app),Android, Android 10, Samsung Galaxy Note 10,GardenGrove_BS_buying,paid_retargeting,meta_ads_retargeting
Safari,Android, Android 11, Samsung Galaxy Note 20 Ultra,GourmetGala_MH_performance,paid_social,pinterest_ads
Chrome,Windows, Windows 10, Dell Inspiron 15 3000,GourmetGrove_BO_broad,paid_search,google_ads_shopping
Opera,macOS, macOS Monterey, iMac (Retina 5K 27-inch Early 2021),GadgetGrove_WS_broad,organic,search
Safari (in-app),Android, Android 10, Samsung Galaxy Note 10+,GardenGala_IE_performance,paid_display,google_ads_display
Safari,Windows, Windows 11, Dell Inspiron 13 7000,AutumnDeals_JP_buying,paid_social,x_ads
Safari (in-app),Android, Android 7, Samsung Galaxy J5,HealthHub_HU_buying,paid_retargeting,meta_ads_retargeting
Safari,Windows, Windows 11, Lenovo Legion 5 Pro,[''],HomeHarbor_CC_buying,paid_social,x_ads
Samsung Internet,macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],AdventureArchipelago_BL_buying,paid_social,x_ads
Edge,macOS, macOS Big Sur, iMac (21.5-inch Late 2020),PetParty_AG_performance,paid_display,meta_ads_display
Firefox,macOS, macOS Big Sur, MacBook Air (M1 2020),[''],VintageVoyage_BB_broad,paid_display,meta_ads_display
Edge,Android, Android 12, Samsung Galaxy Note 21,[''],ArtAlchemy_BS_performance,paid_social,meta_ads_shopping
Chrome,Android, Android 7, Samsung Galaxy S7 Edge,UrbanUtopia_GU_performance,paid_search,google_ads_shopping
Opera,Android, Android 12, Samsung Galaxy Z Fold 3,[''],LuxuryLounge_YT_broad,paid_social,x_ads
Firefox,Windows, Windows 10, Asus ZenBook Duo,TechTrends_PM_buying,paid_search,google_ads_brand
Chrome,Android, Android 11, Google Pixel 5,AdventureAtlas_CX_broad,paid_social,meta_ads_shopping
Safari,Android, Android 12, Samsung Galaxy Note 21,[''],FoodFusion_AI_performance,paid_social,meta_ads_awareness
Firefox,macOS, macOS Catalina, MacBook Pro (13-inch Early 2019),ToyTreasure_CP_performance,paid_search,google_ads_brand
Firefox,Windows, Windows 10, Asus ROG Zephyrus G14,AutoAlley_GT_performance,direct,direct
Samsung Internet,Windows, Windows 10, Dell Latitude 7410,GadgetGrove_CR_buying,paid_retargeting,google_ads_retargeting
Firefox,Android, Android 12, Samsung Galaxy A52,BeautyBoulevard_PG_buying,paid_social,pinterest_ads
Chrome,Windows, Windows 10, Dell Inspiron 15 3000,VintageVault_TF_buying,paid_display,google_ads_display
Safari (in-app),Android, Android 11, Samsung Galaxy A51,AdventureAtlas_CX_broad,paid_social,x_ads
Opera,Windows, Windows 10, Dell Vostro 15 7500,SummerFest_UK_performance,organic,search
Firefox,macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),MusicMajesty_HM_performance,paid_social,linkedin_ads
Opera,iOS, iOS 15.0, iPhone 13,LuxuryLobby_JM_performance,organic,search
Firefox,macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),BookBazaar_SE_broad,paid_retargeting,meta_ads_retargeting
Safari (in-app),Windows, Windows 11, Dell Alienware m15 R4,[''],CraftCraze_GS_performance,paid_retargeting,meta_ads_retargeting
Samsung Internet,Android, Android 9, Samsung Galaxy S9,ToyTemple_DM_buying,paid_social,x_ads
Safari (in-app),iOS, iOS 14.4, iPhone 12 Mini,FoodFiesta_GG_buying,paid_search,google_ads_brand
Samsung Internet,Android, Android 7, HTC U11,AdventureAtlas_CX_broad,paid_display,google_ads_display
Chrome,macOS, macOS Catalina, iMac (21.5-inch 2019),AutoAlley_GT_performance,paid_social,linkedin_ads
Chrome,macOS, macOS Monterey, iMac (Retina 4.5K 24-inch 2021),HomeDecorSale_CN_buying,paid_retargeting,google_ads_retargeting
Safari (in-app),Windows, Windows 10, Asus VivoBook Flip 14,GourmetGala_MH_performance,paid_display,meta_ads_display
Chrome,Windows, Windows 11, Asus VivoBook 14,FashionFiesta_VE_performance,direct,direct
Safari,Android, Android 11, Samsung Galaxy Tab S7,FashionWeek_IT_performance,paid_search,google_ads_brand
Firefox,macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],AdventureAtlas_SH_performance,paid_retargeting,meta_ads_retargeting
Opera,iOS, iOS 14.6, iPad Pro 12.9,SportsSpectacle_IO_buying,paid_search,google_ads_shopping
Chrome,macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),GadgetGrove_NF_performance,paid_retargeting,google_ads_retargeting
Opera,iOS, iOS 14.3, iPhone 12 Pro,GadgetGrove_WS_broad,paid_social,x_ads
Firefox,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),FashionFiesta_FM_broad,paid_social,meta_ads_shopping
Firefox,Android, Android 11, Samsung Galaxy A51,AdventureArena_CH_buying,paid_display,google_ads_display
Chrome,macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),UrbanUtopia_EA_buying,paid_social,pinterest_ads
Firefox,Windows, Windows 11, Dell XPS 15,[''],AdventureArena_CH_buying,direct,direct
Opera,Android, Android 12, Samsung Galaxy Note 21,[''],VintageVista_NU_performance,paid_retargeting,meta_ads_retargeting
Samsung Internet,Windows, Windows 10, Lenovo ThinkPad X1 Carbon,ArtAuction_BV_broad,paid_display,google_ads_display
Firefox,Android, Android 9, Samsung Galaxy A30,KidsKingdom_VI_buying,paid_social,pinterest_ads
Chrome,Android, Android 10, OnePlus 8,LuxuryLobby_HT_performance,paid_social,linkedin_ads
Chrome,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),JewelryJunction_HT_broad,paid_retargeting,google_ads_retargeting
Opera,Windows, Windows 8.1, Lenovo Yoga 920,WellnessWave_CO_broad,paid_search,google_ads_brand
Edge,Android, Android 10, OnePlus 8,JewelryJunction_KN_broad,paid_social,x_ads
Firefox,Android, Android 10, Samsung Galaxy A50,BeautyBlast_DO_performance,paid_social,pinterest_ads
Samsung Internet,Android, Android 12, Samsung Galaxy Note 21,[''],AdventureAtlas_JM_performance,direct,direct
Safari,Windows, Windows 10, Dell Latitude 7410,GardenGrove_LC_buying,organic,search
Opera,Android, Android 9, Samsung Galaxy S9,JewelryJunction_SH_performance,paid_social,meta_ads_shopping
Firefox,iOS, iOS 15.0, iPhone 13,WellnessWave_PW_buying,paid_social,pinterest_ads
Chrome,Windows, Windows 10, Lenovo Legion Y540,AutoAlley_GT_performance,paid_social,youtube_ads
