browser,os, os_version, device_mode,,utm_campaign,utm_medium,utm_source
Safari,Windows, Windows 11, Dell Alienware m15 R4,[''],KidsKingdom_AR_broad,paid_search,google_ads_brand
Firefox,Android, Android 11, Samsung Galaxy Z Flip,TravelTreasures_SB_buying,paid_retargeting,meta_ads_retargeting
Chrome,macOS, macOS Monterey, iMac Pro (2021),[''],ArtAuction_BE_broad,paid_search,google_ads_brand
Firefox,macOS, macOS Monterey, MacBook Pro (14-inch Late 2021),[''],TravelTreasures_CL_performance,direct,direct
Edge,macOS, macOS Monterey, MacBook Pro (13-inch M1 2020),[''],FashionFiesta_FM_broad,direct,direct
Opera,macOS, macOS Monterey, MacBook Pro (14-inch 2021),AutoAlley_GT_performance,organic,search
Samsung Internet,iOS, iOS 14.7, iPad Air 4th Gen,AdventureArchipelago_BL_buying,paid_search,google_ads_shopping
Opera,Android, Android 7, Samsung Galaxy S7,MovieMania_AT_broad,paid_retargeting,meta_ads_retargeting
Samsung Internet,Android, Android 7, Samsung Galaxy J5,JewelryJunction_KN_broad,paid_retargeting,google_ads_retargeting
Safari (in-app),iOS, iOS 14.2, iPhone 12,PetPalace_PM_buying,paid_social,linkedin_ads
Opera,macOS, macOS Catalina, MacBook Pro (16-inch 2019),HealthHub_PN_buying,direct,direct
Firefox,iOS, iOS 14.2, iPhone 12,JewelryJubilee_DK_buying,direct,direct
Opera,Windows, Windows 11, Lenovo Legion 5 Pro,[''],UrbanUtopia_EA_buying,paid_social,linkedin_ads
Firefox,Windows, Windows 10, Surface Pro 7,UrbanUtopia_EA_buying,paid_social,linkedin_ads
Opera,Android, Android 11, Google Pixel 5,WellnessWave_CO_broad,paid_search,google_ads_shopping
Chrome,macOS, macOS Big Sur, iMac (2020),FoodFiesta_GG_buying,paid_social,meta_ads_shopping
Safari,Android, Android 11, Samsung Galaxy A71,AutoAlley_VC_performance,paid_display,meta_ads_display
Firefox,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],HolidaySpecials_DE_broad,organic,search
Opera,Android, Android 9, Samsung Galaxy A30,VintageVista_NU_performance,paid_retargeting,google_ads_retargeting
Opera,Android, Android 11, Samsung Galaxy Z Flip,AdventureAtlas_CX_broad,paid_search,google_ads_brand
Safari,macOS, macOS High Sierra," MacBook Pro 15""",TravelTreasures_PR_broad,paid_social,pinterest_ads
Firefox,Windows, Windows 11, Dell XPS 15,[''],BeautyBoulevard_PG_buying,paid_display,meta_ads_display
Firefox,macOS, macOS Big Sur, iMac (2020),ToyTreasure_CK_broad,paid_social,pinterest_ads
Safari,Windows, Windows 11, Dell Alienware m15 R4,[''],GourmetGrove_BO_broad,paid_social,pinterest_ads
Edge,Android, Android 11, Samsung Galaxy Z Flip,TechExpo_FR_broad,paid_retargeting,meta_ads_retargeting
Firefox,Windows, Windows 11, Lenovo Legion 5 Pro,[''],AdventureAtlas_SH_performance,paid_social,meta_ads_awareness
Safari,Android, Android 12, Samsung Galaxy A52,GourmetGala_MH_performance,paid_retargeting,google_ads_retargeting
Samsung Internet,macOS, macOS Monterey, MacBook Pro (14-inch Late 2021),[''],AutoAlley_GT_performance,paid_social,meta_ads_awareness
Safari (in-app),Android, Android 10, Samsung Galaxy S10,HomeHaven_TO_performance,paid_search,google_ads_brand
Opera,Android, Android 12, Samsung Galaxy Z Fold 3,[''],BackToSchool_AU_buying,paid_retargeting,meta_ads_retargeting
Opera,Android, Android 11, Samsung Galaxy S20,CraftCarnival_PL_performance,paid_social,meta_ads_awareness
Chrome,Android, Android 9, Samsung Galaxy S9,GourmetGrove_BO_broad,direct,direct
Chrome,Windows, Windows 11, Lenovo IdeaPad Flex 5,FoodFiesta_MX_buying,paid_search,google_ads_shopping
Firefox,Windows, Windows 11, Dell XPS 15,[''],GardenGrove_LC_buying,paid_social,linkedin_ads
Edge,Windows, Windows 11, Asus VivoBook S15,CraftCarnival_TV_broad,paid_search,google_ads_shopping
Safari,Windows, Windows 11, Lenovo IdeaPad 3,ArtAlchemy_VC_performance,paid_social,youtube_ads
Safari (in-app),Android, Android 11, Samsung Galaxy S20 Ultra,PetPalace_PM_buying,paid_social,linkedin_ads
Safari (in-app),macOS, macOS Monterey, MacBook Air (Retina 13-inch 2021),TravelTreasures_PR_broad,paid_social,linkedin_ads
Firefox,macOS, macOS Monterey, iMac (Retina 5K 27-inch Early 2021),BeautyBlast_MF_performance,paid_display,google_ads_display
Edge,Android, Android 10, Samsung Galaxy Note 10+,BeautyBoulevard_PG_buying,paid_social,pinterest_ads
Edge,Android, Android 11, Samsung Galaxy S20 Ultra,TechTrove_SR_broad,paid_retargeting,google_ads_retargeting
Chrome,macOS, macOS Catalina, iMac Pro (2019),ToyTreasure_GD_buying,paid_social,x_ads
Safari (in-app),iOS, iOS 13.7, iPhone X,BeautyBoulevard_MQ_buying,paid_display,google_ads_display
Firefox,Android, Android 9, Samsung Galaxy S9,MovieMania_AT_broad,paid_social,meta_ads_shopping
Safari,Windows, Windows 11, Dell Inspiron 14 5000,VintageVoyage_DM_broad,direct,direct
Samsung Internet,macOS, macOS Monterey, iMac (24-inch M1 2021),FashionFestival_GP_performance,paid_social,pinterest_ads
Firefox,Android, Android 11, Samsung Galaxy A71,GourmetGrove_SL_broad,organic,search
Samsung Internet,Windows, Windows 11, Lenovo Legion 5 Pro,[''],HealthHub_HU_buying,paid_search,google_ads_shopping
Firefox,Windows, Windows 11, Surface Laptop 4,LuxuryLounge_YT_broad,paid_social,meta_ads_shopping
Safari,Android, Android 10, Samsung Galaxy S10,CraftCarnival_TV_broad,organic,search
Samsung Internet,Windows, Windows 10, Lenovo ThinkPad P1,AdventureArchipelago_BL_buying,paid_display,meta_ads_display
Edge,Android, Android 10, Samsung Galaxy Note 10,MusicMystique_MF_broad,paid_social,youtube_ads
Chrome,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),PetParade_FI_broad,paid_social,x_ads
Opera,Windows, Windows 11, Dell Precision 7550,JewelryJunction_SH_performance,paid_search,google_ads_brand
Safari (in-app),macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),NewYearBlast_ES_performance,direct,direct
Firefox,Android, Android 9, Samsung Galaxy A30,FashionFestival_GY_buying,paid_search,google_ads_brand
Samsung Internet,Windows, Windows 10, Dell XPS 13,JewelryJunction_TK_performance,paid_social,linkedin_ads
Firefox,macOS, macOS Big Sur, MacBook Air,NatureNiche_KY_buying,organic,search
Safari (in-app),Windows, Windows 10, Dell Latitude 7410,VintageVoyage_DM_broad,paid_retargeting,meta_ads_retargeting
Opera,Windows, Windows 11, Dell XPS 15,[''],VintageVista_NU_performance,paid_social,youtube_ads
Safari,macOS, macOS Catalina, MacBook Pro (13-inch Early 2019),AdventureArchipelago_BL_buying,paid_social,linkedin_ads
Samsung Internet,Android, Android 10, Samsung Galaxy S10e,HolidaySpecials_DE_broad,direct,direct
Firefox,Android, Android 10, Samsung Galaxy Z Fold 2,SummerFest_UK_performance,paid_retargeting,meta_ads_retargeting
Opera,macOS, macOS Monterey, MacBook Air (Retina 13-inch 2021),HomeDecorSale_CN_buying,organic,search
Edge,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],SportsSensation_FJ_performance,paid_social,meta_ads_shopping
Edge,Windows, Windows 11, Dell Inspiron 13 7000,SpringSale_US_broad,paid_search,google_ads_shopping
Opera,Android, Android 6, Moto G4,BeautyBoulevard_PG_buying,paid_social,x_ads
Samsung Internet,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),ArtAuction_BV_broad,organic,search
Firefox,macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),CraftCraze_BZ_buying,paid_social,youtube_ads
Opera,Windows, Windows 11, Lenovo ThinkBook 14,FoodFiesta_MX_buying,paid_retargeting,meta_ads_retargeting
Firefox,macOS, macOS Catalina, MacBook Air (Retina 13-inch 2019),TravelTreasures_PR_broad,paid_social,youtube_ads
Safari,macOS, macOS Catalina, MacBook Pro (13-inch 2019),BeautyBlast_DO_performance,paid_search,google_ads_shopping
Opera,Android, Android 12, Samsung Galaxy A52,GadgetGrove_WS_broad,paid_social,x_ads
Safari,Android, Android 7, Samsung Galaxy S7 Edge,FoodFestival_TV_performance,paid_display,meta_ads_display
Opera,Windows, Windows 10, Asus ROG Strix Scar 15,HealthHaven_SV_broad,paid_social,youtube_ads
Firefox,Android, Android 10, Samsung Galaxy A50,SpringSale_US_broad,organic,search
Firefox,Android, Android 10, Samsung Galaxy Note 10+,GardenGala_IE_performance,paid_display,google_ads_display
Opera,Windows, Windows 11, Lenovo IdeaPad Flex 5,ArtAlchemy_VC_performance,paid_search,google_ads_brand
Opera,macOS, macOS Catalina, MacBook Pro (13-inch Early 2019),LuxuryLounge_YT_broad,paid_display,meta_ads_display
Firefox,Windows, Windows 11, Surface Laptop 4,MusicMela_NZ_performance,paid_social,x_ads
Edge,macOS, macOS Monterey, MacBook Pro (16-inch 2021),[''],ToyTreasure_CP_performance,paid_social,meta_ads_awareness
Firefox,Windows, Windows 11, Asus ROG Flow X13,AutoAlley_VC_performance,paid_social,pinterest_ads
Safari (in-app),Android, Android 10, Samsung Galaxy A70,HealthHive_WS_performance,paid_social,linkedin_ads
Firefox,macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),AutoAlley_GT_performance,direct,direct
Safari (in-app),Android, Android 9, Samsung Galaxy Note 9,FoodFestival_TV_performance,paid_retargeting,meta_ads_retargeting
Edge,Android, Android 12, Samsung Galaxy S21,[''],PetPalace_PM_buying,paid_display,google_ads_display
Edge,Android, Android 10, Samsung Galaxy Z Fold 2,BeautyBlast_MF_performance,paid_retargeting,google_ads_retargeting
Samsung Internet,Windows, Windows 11, Asus VivoBook 14,ArtAtrium_BM_buying,paid_social,meta_ads_awareness
Samsung Internet,macOS, macOS Big Sur, iMac (2020),PetParty_AG_performance,paid_social,meta_ads_shopping
Edge,Android, Android 12, Samsung Galaxy Z Fold 3,[''],WinterClearance_CA_buying,paid_search,google_ads_brand
Edge,macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),SummerFest_UK_performance,organic,search
Chrome,Windows, Windows 10, Asus ROG Strix Scar 15,WellnessWave_PW_buying,paid_retargeting,meta_ads_retargeting
Safari (in-app),macOS, macOS Catalina, MacBook Pro (16-inch 2019),BeautyBlast_DO_performance,paid_social,x_ads
Chrome,macOS, macOS Catalina, iMac Pro (2019),KidsKarnival_GF_broad,paid_retargeting,meta_ads_retargeting
Chrome,macOS, macOS Big Sur, iMac (21.5-inch Late 2020),SportsSpectacle_IO_buying,paid_social,pinterest_ads
Firefox,Windows, Windows 11, Asus TUF Gaming A15,[''],ToyTreasure_GD_buying,paid_social,x_ads
Opera,Android, Android 11, Samsung Galaxy A71,WellnessWorld_EC_performance,paid_social,x_ads
Firefox,Windows, Windows 11, Asus ROG Flow X13,ArtAlchemy_VC_performance,organic,search
Safari (in-app),Android, Android 10, Samsung Galaxy S10e,MusicMajesty_BB_buying,organic,search
Samsung Internet,Windows, Windows 10, Asus ROG Strix Scar 15,ArtAtrium_NU_buying,paid_social,youtube_ads
Edge,Android, Android 12, OnePlus 9 Pro,GadgetGrove_RE_broad,paid_social,youtube_ads
Edge,Android, Android 12, Samsung Galaxy Z Fold 3,[''],MusicMystique_MF_broad,paid_display,google_ads_display
Safari,iOS, iOS 14.6, iPad Pro 12.9,ArtAuction_BV_broad,paid_social,youtube_ads
Firefox,Android, Android 11, Samsung Galaxy Z Flip,AutoAvenue_BQ_broad,paid_social,linkedin_ads
Firefox,Android, Android 10, Samsung Galaxy A50,FashionFestival_BW_buying,paid_display,google_ads_display
Samsung Internet,Windows, Windows 10, Dell Inspiron 15 3000,UrbanUtopia_GU_performance,paid_retargeting,google_ads_retargeting
Edge,Windows, Windows 10, Dell G5 15,UrbanUtopia_EA_buying,paid_retargeting,meta_ads_retargeting
Edge,Windows, Windows 11, Dell Precision 7550,ToyTreasure_GD_buying,paid_retargeting,google_ads_retargeting
Firefox,Android, Android 11, Samsung Galaxy S20,FoodFestival_TV_performance,paid_display,google_ads_display
Opera,macOS, macOS Monterey, MacBook Air (Retina 13-inch Mid 2021),EcoExhibit_GR_performance,paid_display,google_ads_display
Chrome,iOS, iOS 14.6, iPad Pro 12.9,KidsKingdom_NC_performance,paid_social,meta_ads_awareness
Edge,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),TravelTrove_DG_performance,paid_display,meta_ads_display
Firefox,Android, Android 10, Samsung Galaxy S10e,ArtAuction_BV_broad,paid_social,pinterest_ads
Firefox,macOS, macOS Big Sur, iMac (27-inch 2020),CraftCraze_GS_performance,paid_social,meta_ads_awareness
Firefox,macOS, macOS Monterey, iMac (24-inch M1 2021),PetPalace_PM_buying,paid_social,meta_ads_awareness
Chrome,macOS, macOS Big Sur, iMac (24-inch M1 2020),[''],KidsKarnival_GF_broad,paid_display,google_ads_display
Samsung Internet,iOS, iOS 15.0, iPhone 13,GadgetGrove_WS_broad,paid_search,google_ads_brand
Firefox,Android, Android 11, Samsung Galaxy A51,FoodFusion_AI_performance,direct,direct
Opera,Windows, Windows 10, Lenovo ThinkPad L13 Yoga,TravelTrove_DG_performance,paid_social,meta_ads_shopping
Opera,Android, Android 12, Samsung Galaxy S21,[''],ArtAuction_BV_broad,paid_retargeting,meta_ads_retargeting
Edge,Android, Android 11, Samsung Galaxy S20,GourmetGrove_BO_broad,paid_social,linkedin_ads
Opera,iOS, iOS 15.0, iPhone 13,TravelTreasures_CL_performance,paid_social,x_ads
Edge,iOS, iOS 14.4, iPhone 12 Mini,SportsSensation_FJ_performance,paid_search,google_ads_shopping
Chrome,Android, Android 11, Google Pixel 5,SummerFest_UK_performance,direct,direct
Safari,Android, Android 11, Samsung Galaxy S20,FoodFusion_AG_broad,paid_social,x_ads
Firefox,Windows, Windows 10, Dell Vostro 15 7500,NatureNiche_KY_buying,paid_display,meta_ads_display
Firefox,macOS, macOS Catalina," MacBook Pro 13""",FashionWeek_IT_performance,organic,search
Firefox,Windows, Windows 8.1, Lenovo Yoga 920,MovieMania_AT_broad,paid_retargeting,google_ads_retargeting
Safari,macOS, macOS Catalina," MacBook Pro 13""",VintageVault_TF_buying,paid_social,meta_ads_awareness
Firefox,macOS, macOS Monterey, iMac (24-inch M1 2021),CraftCraze_BZ_buying,paid_social,linkedin_ads
Opera,Windows, Windows 11, Surface Laptop 4,GadgetGrove_CR_buying,paid_social,linkedin_ads
Chrome,macOS, macOS Catalina, iMac (27-inch 2019),PetParty_VC_performance,paid_retargeting,google_ads_retargeting
Edge,Windows, Windows 11, Lenovo ThinkPad T14s,[''],CraftCarnival_PL_performance,organic,search
Opera,Android, Android 10, Samsung Galaxy Z Fold 2,FashionWeek_IT_performance,paid_social,pinterest_ads
Safari,Android, Android 9, Samsung Galaxy S9,SpringSale_US_broad,paid_display,google_ads_display
Chrome,Android, Android 10, Samsung Galaxy A70,GadgetGrove_AI_buying,paid_search,google_ads_shopping
Samsung Internet,iOS, iOS 15.0, iPhone 13,AutoAlley_GT_performance,paid_search,google_ads_shopping
Samsung Internet,Android, Android 11, Samsung Galaxy A51,JewelryJunction_AQ_buying,paid_social,x_ads
Firefox,Android, Android 11, Samsung Galaxy Note 20,FashionFestival_BW_buying,paid_social,youtube_ads
Edge,Android, Android 11, Samsung Galaxy Z Flip,GourmetGala_MH_performance,paid_social,linkedin_ads
Edge,macOS, macOS Monterey, iMac (Retina 4.5K 24-inch 2021),GadgetGrove_RE_broad,paid_social,linkedin_ads
Edge,macOS, macOS Monterey, MacBook Pro (14-inch 2021),AutoAvenue_BQ_broad,paid_display,meta_ads_display
Safari (in-app),macOS, macOS Monterey, iMac (24-inch M1 2021),WellnessWorld_EC_performance,paid_display,google_ads_display
Safari,Android, Android 12, Samsung Galaxy Z Fold 3,[''],PetParade_FI_broad,paid_search,google_ads_brand
Firefox,Android, Android 10, Samsung Galaxy Note 10+,WinterClearance_CA_buying,paid_social,pinterest_ads
Samsung Internet,macOS, macOS Catalina, MacBook Pro (13-inch 2019),PetParade_FI_broad,paid_display,google_ads_display
Safari (in-app),Android, Android 10, Samsung Galaxy A70,SportsSensation_BL_broad,paid_search,google_ads_brand
Safari (in-app),iOS, iOS 14.3, iPhone 12 Pro,LuxuryLobby_HT_performance,paid_display,meta_ads_display
Safari,Windows, Windows 8.1, Lenovo Yoga 920,JewelryJunction_KN_broad,paid_display,google_ads_display
Edge,Windows, Windows 10, Asus VivoBook Flip 14,JewelryJunction_KN_broad,paid_social,youtube_ads
Safari,Windows, Windows 11, Dell Inspiron 13 7000,BackToSchool_AU_buying,organic,search
Opera,macOS, macOS Catalina, iMac (27-inch 2019),HealthHub_PN_buying,paid_retargeting,meta_ads_retargeting
Firefox,Windows, Windows 11, Asus VivoBook 14,FashionWeek_IT_performance,paid_social,linkedin_ads
Safari,Windows, Windows 11, Dell Inspiron 14 5000,AutoAlley_VC_performance,paid_social,meta_ads_awareness
Edge,Android, Android 8, Samsung Galaxy Note 8,GadgetGalore_RU_broad,paid_social,meta_ads_awareness
Edge,Android, Android 12, Samsung Galaxy A52,VintageVista_NU_performance,paid_retargeting,meta_ads_retargeting
Opera,Windows, Windows 10, Asus ROG Zephyrus G14,CraftCraze_GS_performance,paid_social,linkedin_ads
Chrome,Android, Android 10, Samsung Galaxy S10,FashionFestival_GY_buying,paid_retargeting,google_ads_retargeting
Firefox,Android, Android 11, Samsung Galaxy Note 20,JewelryJunction_KN_broad,paid_social,meta_ads_awareness
Safari (in-app),macOS, macOS Big Sur, MacBook Air,KidsKingdom_VI_buying,paid_social,meta_ads_awareness
Chrome,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),GourmetGala_PE_buying,paid_social,youtube_ads
Edge,Windows, Windows 10, Lenovo Yoga C940,JewelryJunction_KN_broad,paid_social,meta_ads_shopping
Safari,Android, Android 10, Samsung Galaxy A50,ToyTreasure_CK_broad,paid_search,google_ads_brand
Samsung Internet,Android, Android 10, Samsung Galaxy Z Fold 2,ToyTreasure_NO_performance,paid_social,linkedin_ads
Safari (in-app),Android, Android 7, Samsung Galaxy S7,SpringSale_US_broad,paid_social,youtube_ads
Samsung Internet,Android, Android 8, Samsung Galaxy S8,TechTrends_PM_buying,paid_social,pinterest_ads
Chrome,macOS, macOS Catalina," MacBook Pro 13""",HealthHaven_SV_broad,paid_social,youtube_ads
Edge,Windows, Windows 11, Dell Precision 7550,TechTrove_SR_broad,organic,search
Firefox,Android, Android 12, Samsung Galaxy Z Fold 3,[''],LuxuryLobby_JM_performance,paid_display,meta_ads_display
Chrome,macOS, macOS Monterey, MacBook Pro (14-inch Late 2021),[''],HomeHarbor_CC_buying,organic,search
Safari (in-app),Windows, Windows 10, Dell Latitude 7410,LuxuryLounge_NL_broad,paid_social,meta_ads_shopping
Safari (in-app),Windows, Windows 11, Dell Precision 7550,ArtAlchemy_VC_performance,paid_social,linkedin_ads
Chrome,Android, Android 12, Google Pixel 4,SummerFest_UK_performance,paid_search,google_ads_brand
Edge,Android, Android 10, Samsung Galaxy Note 10+,AutoAvenue_BQ_broad,paid_search,google_ads_brand
Safari,iOS, iOS 14.7, iPad Air 4th Gen,GadgetGalore_RU_broad,direct,direct
Chrome,macOS, macOS Catalina, MacBook Pro (16-inch 2019),TechExpo_FR_broad,organic,search
Chrome,Windows, Windows 11, Asus ROG Flow X13,ToyTemple_FK_broad,organic,search
Opera,macOS, macOS Big Sur, MacBook Pro (16-inch Late 2020),SportsSensation_GF_performance,organic,search
Firefox,Android, Android 11, Samsung Galaxy Note 20,GardenGrove_CK_broad,paid_retargeting,meta_ads_retargeting
Safari (in-app),Android, Android 10, Samsung Galaxy S10e,ToyTemple_FK_broad,paid_social,youtube_ads
Safari (in-app),Windows, Windows 10, Dell Latitude 7410,AutumnDeals_JP_buying,paid_display,google_ads_display
Firefox,Windows, Windows 10, Asus ROG Strix Scar 15,JewelryJunction_TK_performance,paid_social,youtube_ads
Opera,macOS, macOS Catalina, MacBook Pro (16-inch 2019),UrbanUtopia_EA_buying,paid_social,linkedin_ads
Firefox,Windows, Windows 10, Asus ZenBook Duo,WellnessWave_PW_buying,paid_search,google_ads_brand
Chrome,Android, Android 11, Samsung Galaxy Note 20 Ultra,EcoExhibit_GR_performance,paid_social,meta_ads_shopping
Chrome,macOS, macOS Catalina, MacBook Pro (16-inch 2019),CraftCarnival_TT_buying,paid_social,linkedin_ads
Edge,Android, Android 11, Samsung Galaxy Z Flip,MusicMystique_MF_broad,paid_display,google_ads_display
Opera,macOS, macOS Big Sur, iMac (27-inch 2020),BackToSchool_AU_buying,paid_social,meta_ads_shopping
Firefox,macOS, macOS Catalina, MacBook Air (Retina 13-inch Late 2019),VintageVault_PT_buying,paid_display,meta_ads_display
Safari (in-app),Android, Android 8, Samsung Galaxy S8,GardenGala_EH_performance,paid_social,youtube_ads
Safari (in-app),macOS, macOS Catalina, MacBook Air (Retina 13-inch Late 2019),TravelFiesta_IN_performance,paid_social,meta_ads_awareness
Opera,Android, Android 7, Samsung Galaxy J5,CraftCarnival_TV_broad,organic,search
Safari (in-app),Windows, Windows 10, Asus ROG Strix Scar 15,LuxuryLobby_TK_buying,paid_social,x_ads
Safari,Windows, Windows 11, Dell Alienware m15 R4,[''],CraftCarnival_TV_broad,paid_social,pinterest_ads
Opera,Android, Android 7, Samsung Galaxy S7 Edge,NatureNook_MP_broad,organic,search
Opera,Android, Android 11, Samsung Galaxy S20 Ultra,TechTrove_SR_broad,paid_display,google_ads_display
Samsung Internet,macOS, macOS Big Sur, MacBook Pro (13-inch Mid 2020),AdventureAtlas_SH_performance,paid_retargeting,meta_ads_retargeting
Samsung Internet,macOS, macOS Catalina, MacBook Pro (13-inch Early 2019),ToyTreasure_NO_performance,paid_search,google_ads_shopping
Edge,Android, Android 10, Samsung Galaxy Note 10+,FashionFestival_GY_buying,organic,search
Edge,iOS, iOS 15.0, iPhone 13,TravelFiesta_IN_performance,paid_social,youtube_ads
Samsung Internet,Android, Android 11, OnePlus 9,FashionFiesta_VE_performance,paid_retargeting,meta_ads_retargeting
Chrome,Android, Android 8, Samsung Galaxy S8,WellnessWave_CO_broad,paid_social,meta_ads_awareness
Samsung Internet,Android, Android 10, Samsung Galaxy A50,GardenGrove_LC_buying,paid_search,google_ads_shopping
Opera,macOS, macOS Monterey, iMac Pro (2021),[''],FoodFusion_AG_broad,paid_social,meta_ads_shopping
Firefox,Android, Android 10, Samsung Galaxy A70,ToyTemple_FK_broad,paid_retargeting,meta_ads_retargeting
Firefox,Android, Android 8, Samsung Galaxy J7,TravelTreasures_SB_buying,paid_social,meta_ads_shopping
Chrome,Windows, Windows 11, Dell Alienware m15 R4,[''],AdventureArena_CH_buying,direct,direct
Opera,macOS, macOS Big Sur, MacBook Air,WellnessWave_AW_performance,paid_social,youtube_ads
Samsung Internet,Android, Android 9, Samsung Galaxy S9,LuxuryLobby_HT_performance,paid_retargeting,meta_ads_retargeting
Edge,macOS, macOS Catalina, MacBook Pro (13-inch 2019),TravelTreasures_CL_performance,paid_search,google_ads_shopping
Chrome,Android, Android 11, Samsung Galaxy Z Flip,MusicMajesty_BB_buying,paid_social,meta_ads_awareness
Samsung Internet,iOS, iOS 14.4, iPhone 12 Mini,WellnessWorld_EC_performance,paid_search,google_ads_shopping
Edge,Windows, Windows 10, Asus ROG Strix Scar 15,HealthHive_WS_performance,direct,direct
Safari,Windows, Windows 11, Asus VivoBook S15,HealthHaven_SV_broad,paid_social,x_ads
Safari,macOS, macOS Monterey," MacBook Pro 16""",SportsMania_BR_broad,direct,direct
Safari (in-app),Windows, Windows 10, Dell Inspiron 15 3000,HomeHaven_GP_performance,paid_social,pinterest_ads
Safari,Windows, Windows 11, Asus VivoBook 14,PetParade_FI_broad,paid_social,meta_ads_awareness
Safari,Android, Android 12, Samsung Galaxy Note 21,[''],ArtAtrium_NU_buying,paid_social,youtube_ads
Edge,Android, Android 12, Google Pixel 4,AutoAvenue_BQ_broad,organic,search
Firefox,macOS, macOS Big Sur, MacBook Air,MusicMajesty_BB_buying,paid_social,linkedin_ads
Chrome,Windows, Windows 11, Asus ROG Flow X13,KidsKarnival_PA_performance,paid_retargeting,google_ads_retargeting
Opera,Windows, Windows 10, Dell Latitude 7410,UrbanUniverse_MS_broad,paid_social,meta_ads_awareness
Edge,Windows, Windows 11, Dell XPS 15,[''],KidsKarnival_PA_performance,paid_social,youtube_ads
Samsung Internet,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),WellnessWave_AW_performance,paid_search,google_ads_brand
Chrome,Android, Android 12, Samsung Galaxy A52,FoodFestival_TV_performance,organic,search
Safari (in-app),Android, Android 7, Samsung Galaxy S7,JewelryJunction_AQ_buying,organic,search
Firefox,iOS, iOS 15.0, iPhone 13,GardenGala_EH_performance,paid_retargeting,google_ads_retargeting
Edge,macOS, macOS Big Sur, MacBook Air (Retina 13-inch Early 2020),GardenGala_EH_performance,paid_display,meta_ads_display
Samsung Internet,Android, Android 7, Samsung Galaxy J5,BookBazaar_SE_broad,paid_search,google_ads_shopping
Chrome,macOS, macOS Monterey," MacBook Pro 16""",JewelryJubilee_DK_buying,paid_search,google_ads_shopping
Safari,Windows, Windows 11, Lenovo IdeaPad 3,BeautyBoulevard_NR_broad,paid_search,google_ads_shopping
Opera,macOS, macOS Big Sur, iMac (2020),MusicMajesty_BB_buying,paid_social,linkedin_ads
Samsung Internet,Windows, Windows 11, Asus ROG Flow X13,ArtAtrium_BM_buying,paid_search,google_ads_brand
